Date,Open,High,Low,Close,Volume
2018-08-27,1682.5,1714.32,1682.5,1714.32,41011800
2018-08-28,1714.38,1719.25,1711.46,1717.44,40431400
2018-08-29,1715.02,1715.02,1703.08,1707.73,35956900
2018-08-30,1706.39,1706.39,1681.2,1681.2,37388300
2018-08-31,1677.41,1678.8,1661.59,1662.54,32286500
2018-09-03,1659.63,1659.63,1635.49,1658.9,33673400
2018-09-04,1657.15,1681.18,1657.15,1679.71,36661000
2018-09-05,1676.51,1683.98,1656.59,1656.59,39300200
2018-09-06,1651.89,1666.88,1647.08,1651.45,35171300
2018-09-07,1651.47,1669.92,1646.76,1654.93,37129400
2018-09-10,1653.44,1653.44,1622.21,1622.23,36647300
2018-09-11,1621.79,1634.55,1616.99,1628.67,32806100
2018-09-12,1627.83,1638.83,1625.27,1629.79,31193100
2018-09-13,1638.62,1644.47,1623.37,1644.47,35306300
2018-09-14,1645.51,1645.95,1626.2,1626.2,38091800
2018-09-17,1619.51,1619.51,1597.36,1599.19,35737500
2018-09-18,1594.7,1625.35,1594.7,1625.35,39562800
2018-09-19,1622.67,1651.28,1622.67,1643.81,48433700
2018-09-20,1641.63,1647.72,1637.31,1638.63,45058300
2018-09-21,1641.32,1656.85,1637.11,1656.85,49385700
2018-09-25,1650.1,1655.41,1648.13,1652.07,38914700
2018-09-26,1652.13,1664.13,1651.28,1657.68,43247100
2018-09-27,1656.93,1656.93,1626.28,1626.28,47463300
2018-09-28,1626.45,1641.98,1626.45,1641.98,38084400
2018-10-08,1618.66,1618.98,1586.98,1586.98,39270200
2018-10-09,1589.48,1603.05,1585.9,1594.38,34978500
2018-10-10,1595.69,1604.22,1592.2,1604.0,36760400
2018-10-11,1556.43,1556.43,1475.81,1483.26,59258500
2018-10-12,1468.02,1480.34,1414.21,1474.48,52104700
2018-10-15,1477.74,1492.65,1458.82,1459.22,38599100
2018-10-16,1458.15,1470.7,1423.76,1431.51,40567100
2018-10-17,1446.52,1448.4,1415.62,1442.16,43110200
2018-10-18,1433.76,1433.76,1395.28,1395.93,42036800
2018-10-19,1373.96,1424.55,1373.96,1423.84,42933700
2018-10-22,1437.71,1502.01,1437.71,1493.42,59133500
2018-10-23,1492.19,1495.54,1469.49,1476.0,53823300
