Date,Close
2024-07-05,557.96
2024-07-08,559.22
2024-07-09,555.9
2024-07-10,560.85
2024-07-11,561.78
2024-07-12,563.26
2024-07-15,563.66
2024-07-16,570.82
2024-07-17,577.37
2024-07-18,577.56
2024-07-19,561.9
2024-07-22,563.32
2024-07-23,560.0
2024-07-24,566.35
2024-07-25,552.4
2024-07-26,555.5
2024-07-29,558.79
2024-07-30,558.68
2024-07-31,563.26
2024-08-01,568.61
2024-08-02,571.17
2024-08-05,560.7
2024-08-06,554.28
2024-08-07,554.7
2024-08-08,555.16
2024-08-09,560.94
2024-08-12,564.1
2024-08-13,567.84
2024-08-14,566.71
2024-08-15,565.66
2024-08-16,566.14
2024-08-19,572.26
2024-08-20,572.75
2024-08-21,574.5
2024-08-22,572.89
2024-08-23,571.58
2024-08-26,574.89
2024-08-27,573.99
2024-08-28,573.33
2024-08-29,574.9
2024-08-30,573.44
2024-09-02,570.7
2024-09-03,571.48
2024-09-04,567.53
2024-09-05,571.79
2024-09-06,572.84
2024-09-09,570.26
2024-09-10,572.72
2024-09-11,575.74
2024-09-12,575.0
2024-09-13,582.54
2024-09-18,581.98
2024-09-19,583.05
2024-09-20,588.3
2024-09-23,592.2
2024-09-24,592.0
2024-09-25,595.66
2024-09-26,597.15
2024-09-27,597.16
2024-09-30,595.25
2024-10-08,593.4
2024-10-09,588.6
2024-10-10,590.89
2024-10-11,597.3
2024-10-14,600.82
2024-10-15,603.26
2024-10-16,609.96
2024-10-17,612.66
2024-10-18,616.83
2024-10-21,624.06
2024-10-22,625.0
2024-10-23,628.68
2024-10-24,623.03
2024-10-25,621.5
2024-10-28,624.65
2024-10-29,629.5
2024-10-30,636.75
2024-10-31,634.0
2024-11-01,627.67
2024-11-04,623.48
2024-11-05,623.78
2024-11-06,624.69
2024-11-07,610.01
2024-11-08,612.85
2024-11-11,613.3
2024-11-12,602.81
2024-11-13,603.09
2024-11-14,591.12
2024-11-15,591.97
2024-11-18,598.77
2024-11-19,607.3
2024-11-20,608.0
2024-11-21,616.42
2024-11-22,623.91
2024-11-25,616.51
2024-11-26,607.0
2024-11-27,613.8
2024-11-28,611.77
2024-11-29,614.88
2024-12-02,613.18
2024-12-03,616.72
2024-12-04,615.86
2024-12-05,616.0
2024-12-06,614.09
2024-12-09,617.26
2024-12-10,619.63
2024-12-11,624.79
2024-12-12,628.83
2024-12-13,622.43
2024-12-16,618.34
2024-12-17,618.21
2024-12-18,616.5
2024-12-19,614.53
2024-12-20,611.83
2024-12-23,618.4
2024-12-24,616.34
2024-12-25,616.8
2024-12-26,618.07
2024-12-27,618.55
2024-12-30,616.5
2024-12-31,614.8
2025-01-02,621.99
2025-01-03,626.87
2025-01-06,624.32
2025-01-07,625.0
2025-01-08,628.35
2025-01-09,630.37
2025-01-10,633.82
